FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000396	5	5	2	3	4	5	5	3	4	3	2	2	3	3	2	3	2	3	3	3	3
OG0000398	3	4	3	4	2	3	5	4	3	4	3	3	4	3	3	3	2	2	3	2	3
OG0000399	4	3	6	6	4	4	4	6	4	3	3	3	4	4	3	4	1	3	3	3	3
OG0000400	3	4	4	6	4	4	0	4	4	4	4	4	4	4	4	4	0	6	4	4	4
OG0000401	3	2	4	17	3	3	3	5	3	2	3	4	3	3	3	3	0	1	3	1	3
OG0000402	4	4	3	4	4	4	7	4	4	3	3	3	4	4	3	4	1	4	3	3	3
OG0000403	3	5	3	3	5	4	5	3	4	2	4	5	4	4	4	4	1	3	4	3	4
OG0000406	2	2	3	4	2	2	5	4	2	2	3	1	4	2	3	4	15	4	4	6	4
OG0000408	1	1	10	7	2	1	12	8	1	1	1	0	8	1	1	2	0	1	1	1	1
OG0000409	2	2	1	2	3	2	11	2	2	2	8	5	3	2	5	3	0	2	3	2	3
OG0000410	3	5	2	2	7	4	5	2	4	2	2	1	3	3	2	3	0	4	2	2	2
OG0000411	2	6	0	12	1	2	5	4	2	1	2	1	4	2	2	2	1	0	2	1	2
OG0000412	3	3	2	3	4	3	5	3	3	3	1	1	3	3	1	3	1	5	3	3	3
