Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000413	4	5	2	5	4	7	7	0	3	0	3	1
null	OG0000414	5	3	3	6	7	2	5	0	0	0	9	6
null	OG0000415	5	4	3	2	3	6	5	4	4	1	2	1
null	OG0000416	6	6	3	0	0	12	0	0	0	0	0	8
null	OG0000417	2	4	1	4	3	3	0	4	8	0	2	7
null	OG0000418	8	5	0	0	1	17	0	0	0	0	0	2
null	OG0000419	9	6	0	4	4	2	4	0	0	2	9	4
null	OG0000420	1	2	9	0	1	3	12	2	1	0	4	9
null	OG0000421	4	4	3	2	3	4	4	4	4	2	3	5
null	OG0000422	8	5	4	0	0	4	2	0	0	0	3	14
null	OG0000423	4	3	4	2	2	4	5	3	3	4	3	5
null	OG0000424	3	3	3	2	1	3	6	2	4	6	2	8
null	OG0000425	0	0	0	1	1	0	1	2	0	0	41	0
null	OG0000426	0	0	0	0	0	0	0	7	0	0	32	7
null	OG0000427	0	0	0	0	0	0	0	4	0	0	42	0
null	OG0000428	0	0	0	0	0	0	0	1	0	0	1	44
null	OG0000429	5	5	5	1	1	5	1	4	3	0	3	5
null	OG0000430	2	3	1	7	7	3	11	1	1	0	3	4
null	OG0000431	2	1	0	3	5	3	4	5	5	2	4	7
null	OG0000432	8	10	9	0	0	0	4	0	3	0	0	3
null	OG0000433	8	6	2	3	2	9	1	1	0	0	1	1
null	OG0000434	4	3	3	3	3	3	6	3	5	2	3	4
null	OG0000435	4	3	2	2	1	4	4	7	4	0	5	6
null	OG0000436	4	4	3	1	2	11	2	2	2	3	1	3
null	OG0000437	3	3	4	5	4	3	4	4	2	0	5	4
null	OG0000438	1	2	2	2	2	2	7	3	14	1	4	4
